Tarih,Fiyat
2016-05-01,116.356
2016-05-02,116.318
2016-05-03,117.758
2016-05-04,121.904
2016-05-05,120.287
2016-05-06,121.279
2016-05-08,120.949
2016-05-09,119.513
2016-05-10,119.981
2016-05-11,121.337
2016-05-12,120.668
2016-05-13,121.615
2016-05-15,121.772
2016-05-16,122.007
2016-05-17,122.111
2016-05-18,121.143
2016-05-19,120.798
2016-05-20,119.79
2016-05-22,119.863
2016-05-23,120.353
2016-05-24,116.177
2016-05-25,115.764
2016-05-26,115.456
2016-05-27,115.483
2016-05-29,114.999
2016-05-30,114.952
2016-05-31,115.358
2016-06-01,114.834
2016-06-02,114.553
2016-06-03,116.212
2016-06-05,116.727
2016-06-06,116.329
2016-06-07,115.884
2016-06-08,117.606
2016-06-09,117.829
2016-06-10,120.047
2016-06-12,120.412
2016-06-13,120.522
2016-06-14,121.25
2016-06-15,121.591
2016-06-16,120.768
2016-06-17,122.18
2016-06-19,120.787
2016-06-20,120.207
2016-06-21,118.843
2016-06-22,117.328
2016-06-23,116.924
2016-06-24,123.854
2016-06-26,126.112
2016-06-27,125.101
2016-06-28,122.814
2016-06-29,122.306
2016-06-30,122.499
2016-07-01,125.264
2016-07-03,125.338
2016-07-04,126.132
2016-07-05,128.272
2016-07-06,129.107
2016-07-07,128.535
2016-07-08,127.12
2016-07-10,127.531
2016-07-11,126.481
2016-07-12,123.883
2016-07-13,125.469
2016-07-14,123.861
2016-07-15,129.907
2016-07-17,127.148
2016-07-18,127.386
2016-07-19,130.522
2016-07-20,130.361
2016-07-21,131.412
2016-07-22,130.486
2016-07-24,130.115
2016-07-25,128.504
2016-07-26,128.986
2016-07-27,129.906
2016-07-28,129.418
2016-07-29,129.808
2016-07-31,129.57
2016-08-01,130.06
2016-08-02,131.213
2016-08-03,131.421
2016-08-04,131.717
2016-08-05,128.909
2016-08-07,128.481
2016-08-08,128.065
2016-08-09,128.102
2016-08-10,128.135
2016-08-11,127.458
2016-08-12,127.103
2016-08-14,127.446
2016-08-15,126.891
2016-08-16,126.953
2016-08-17,126.937
2016-08-18,127.11
2016-08-19,126.334
2016-08-21,126.188
2016-08-22,126.527
2016-08-23,126.899
2016-08-24,125.858
2016-08-25,124.746
2016-08-26,125.549
2016-08-28,125.488
2016-08-29,125.66
2016-08-30,125.047
2016-08-31,124.558
2016-09-01,125.195
2016-09-02,125.702
2016-09-04,125.517
2016-09-05,125.739
2016-09-06,126.798
2016-09-07,126.857
2016-09-08,127.031
2016-09-09,126.786
2016-09-11,126.941
2016-09-12,127.034
2016-09-13,126.761
2016-09-14,126.773
2016-09-15,125.677
2016-09-16,125.555
2016-09-18,125.581
2016-09-19,125.754
2016-09-20,125.971
2016-09-21,126.701
2016-09-22,126.517
2016-09-23,127.522
2016-09-25,128.637
2016-09-26,128.214
2016-09-27,126.873
2016-09-28,126.774
2016-09-29,127.459
2016-09-30,126.989
2016-10-02,127.0
2016-10-03,127.422
2016-10-04,124.794
2016-10-05,124.609
2016-10-06,122.837
2016-10-07,123.298
2016-10-09,123.587
2016-10-10,124.274
2016-10-11,124.357
2016-10-12,124.441
2016-10-13,124.711
2016-10-14,124.288
2016-10-16,124.626
2016-10-17,125.017
